,Primary Type,Community Area,Year,Latitude,Longitude
15297,HOMICIDE,62,2015,41.786423093,-87.722975512
589125,HOMICIDE,44,2015,41.735752519,-87.62542903200001
780272,HOMICIDE,25,2015,41.894009145,-87.751482327
780340,HOMICIDE,70,2015,41.752416738,-87.710383001
780414,HOMICIDE,44,2015,41.723546383,-87.607485349
780493,HOMICIDE,43,2015,41.751678423,-87.57023511
780576,HOMICIDE,43,2015,41.751678423,-87.57023511
780656,HOMICIDE,29,2015,41.865562351,-87.70313647799999
780811,HOMICIDE,26,2015,41.880298941,-87.735464135
780878,HOMICIDE,68,2015,41.77234679,-87.653434136
780966,HOMICIDE,38,2015,41.823354247,-87.61853972700001
781046,HOMICIDE,58,2015,41.816501877,-87.689552817
781130,HOMICIDE,70,2015,41.7457119,-87.68402365600001
781302,HOMICIDE,63,2015,41.788382525,-87.68442195700001
781395,HOMICIDE,29,2015,41.864337788,-87.725421626
781485,HOMICIDE,73,2015,41.718888535,-87.64436449899999
781572,HOMICIDE,28,2015,41.882185074,-87.679713374
781658,HOMICIDE,43,2015,41.75375771,-87.55213534399999
781734,HOMICIDE,61,2015,41.797277742,-87.653742794
781811,HOMICIDE,66,2015,41.772958903,-87.6809078
781889,HOMICIDE,61,2015,41.802277495,-87.655080002
781963,HOMICIDE,44,2015,41.750472394,-87.634297122
782039,HOMICIDE,66,2015,41.770980744,-87.6834133
782127,HOMICIDE,26,2015,41.883196036,-87.73953538399999
782217,HOMICIDE,30,2015,41.848054237,-87.712759263
782299,HOMICIDE,38,2015,41.802195280999996,-87.609675541
782469,HOMICIDE,53,2015,41.677244043,-87.62864027299999
782562,HOMICIDE,60,2015,41.83607872,-87.657409354
782652,HOMICIDE,67,2015,41.766156013,-87.669924987
782734,HOMICIDE,46,2015,41.747141383,-87.574686235
782812,HOMICIDE,33,2015,41.850359857,-87.623741058
782884,HOMICIDE,38,2015,41.806671065,-87.615339745
783038,HOMICIDE,70,2015,41.739787158,-87.700293265
783111,HOMICIDE,29,2015,41.859993621,-87.711579264
783184,HOMICIDE,49,2015,41.712456039,-87.62010667700001
783347,HOMICIDE,19,2015,41.920657269,-87.776145534
783435,HOMICIDE,28,2015,41.883811077,-87.671812366
783608,HOMICIDE,49,2015,41.688100085,-87.63619923700001
783692,HOMICIDE,25,2015,41.903170357,-87.754381974
783781,HOMICIDE,25,2015,41.876796412,-87.76170318700001
783863,HOMICIDE,23,2015,41.910499189,-87.731236702
783949,HOMICIDE,67,2015,41.764974559,-87.659310823
784027,HOMICIDE,19,2015,41.926409544,-87.76115393799999
784115,HOMICIDE,22,2015,41.92500526,-87.679563115
784197,HOMICIDE,68,2015,41.791994694,-87.646310475
784290,HOMICIDE,3,2015,41.967146776,-87.663140769
784368,HOMICIDE,67,2015,41.768431709,-87.674333391
784428,HOMICIDE,1,2015,42.011893605,-87.67451973899999
784558,HOMICIDE,49,2015,41.686521024,-87.61683831
784649,HOMICIDE,25,2015,41.884498505,-87.741458652
784736,HOMICIDE,51,2015,41.703644635,-87.564453394
784989,HOMICIDE,31,2015,41.858003290999996,-87.65287632100001
785066,HOMICIDE,31,2015,41.858003290999996,-87.65287632100001
785145,HOMICIDE,61,2015,41.808509341,-87.67481779399999
785215,HOMICIDE,42,2015,41.776176510999996,-87.594551952
785303,HOMICIDE,30,2015,41.840020892,-87.72077466799999
785382,HOMICIDE,3,2015,41.96270134,-87.653370223
785470,HOMICIDE,49,2015,41.703445434,-87.629291729
785550,HOMICIDE,73,2015,41.725844615999996,-87.65670508
785639,HOMICIDE,14,2015,41.972462991,-87.72693562799999
785721,HOMICIDE,15,2015,41.946726473000005,-87.77256982600001
785800,HOMICIDE,25,2015,41.909296329,-87.772239931
785878,HOMICIDE,25,2015,41.909296329,-87.772239931
785961,HOMICIDE,22,2015,41.921545627,-87.669188669
786047,HOMICIDE,22,2015,41.921545627,-87.669188669
786121,HOMICIDE,44,2015,41.746875014000004,-87.63662278700001
786197,HOMICIDE,25,2015,41.878458449,-87.745204753
786258,HOMICIDE,70,2015,41.748772464,-87.70236711
786340,HOMICIDE,24,2015,41.898563902,-87.69801864899999
786418,HOMICIDE,46,2015,41.748315167,-87.550031913
786497,HOMICIDE,71,2015,41.733253531,-87.667856608
786572,HOMICIDE,52,2015,41.696830001,-87.541349099
786649,HOMICIDE,4,2015,41.973109096,-87.684977358
786739,HOMICIDE,27,2015,41.881978408,-87.697650504
786823,HOMICIDE,19,2015,41.924102821999995,-87.756452662
786905,HOMICIDE,25,2015,41.877555323,-87.75596817899999
786983,HOMICIDE,45,2015,41.741170915,-87.585745319
787054,HOMICIDE,33,2015,41.852089006,-87.623784345
787139,HOMICIDE,53,2015,41.671516943,-87.65144361200001
