,Community Area Number,COMMUNITY AREA NAME,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
0,1,Rogers Park,23.6,18.2,0.07,4.2,11.91,2.93,0.0,0.44,7.87,2.17,3.94,0.04,0.11,0.0,0.26,0.02,0.0,0.11,1.99,3.85,0.0,0.41,0.0,4.29,0.18,0.0,0.49,1.87,0.34,0.05,15.06,0.51
1,2,West Ridge,17.2,20.8,0.05,2.27,7.49,3.22,0.01,0.14,5.88,0.81,2.53,0.05,0.05,0.0,0.12,0.01,0.01,0.03,1.67,2.17,0.01,0.49,0.0,3.17,0.03,0.01,0.45,1.23,0.27,0.0,9.25,0.45
2,3,Uptown,24.0,11.8,0.04,4.29,12.26,2.15,0.0,0.55,5.91,2.6,5.89,0.04,0.22,0.0,0.18,0.04,0.04,0.05,2.84,5.2,0.0,0.64,0.0,4.05,0.04,0.0,0.56,2.09,0.29,0.0,16.09,0.38
3,4,Lincoln Square,10.9,13.4,0.03,2.57,7.47,2.31,0.0,0.16,6.15,1.32,3.81,0.03,0.03,0.0,0.13,0.03,0.03,0.03,1.53,2.05,0.0,0.52,0.03,2.75,0.05,0.0,0.13,1.09,0.29,0.03,13.02,0.26
4,5,North Center,7.5,4.5,0.18,1.58,4.09,2.74,0.0,0.18,5.31,1.13,3.91,0.0,0.0,0.0,0.06,0.09,0.0,0.06,1.73,1.16,0.0,0.33,0.0,1.55,0.0,0.0,0.18,1.28,0.27,0.06,15.54,0.03
5,6,Lake View,11.4,2.6,0.1,2.16,7.96,3.09,0.0,0.46,5.31,2.04,5.34,0.0,0.01,0.01,0.17,0.05,0.01,0.2,1.99,1.32,0.0,0.14,0.0,1.9,0.01,0.01,0.46,2.01,0.22,0.03,22.4,0.13
6,7,Lincoln Park,12.3,3.6,0.03,1.22,5.29,3.33,0.0,0.36,7.17,1.34,5.11,0.0,0.0,0.0,0.03,0.0,0.03,0.34,1.73,0.77,0.0,0.19,0.0,1.75,0.0,0.02,0.22,1.81,0.34,0.02,27.37,0.09
7,8,Near North Side,12.9,2.5,0.09,4.26,13.41,2.33,0.01,0.68,6.53,4.51,15.09,0.0,0.01,0.0,0.25,0.06,0.1,0.32,1.95,3.29,0.01,0.17,0.0,3.48,0.87,0.01,0.71,2.6,0.28,0.05,53.66,0.36
8,9,Edison Park,3.3,7.4,0.0,1.61,4.38,1.34,0.0,0.09,2.95,0.54,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.45,0.0,0.54,0.0,2.06,0.0,0.0,0.36,0.09,0.0,0.0,4.03,0.09
9,10,Norwood Park,5.4,11.5,0.03,2.23,4.67,2.52,0.0,0.16,5.04,1.31,3.11,0.0,0.0,0.0,0.05,0.03,0.03,0.11,0.67,1.29,0.03,0.32,0.0,2.76,0.11,0.0,0.19,0.24,0.3,0.03,8.67,0.11
